                                     mean         std        2.5q        25q        50q         75q      97.5q       mc err
a_subj(HC.hoarding).15            1.17752   0.0473265     1.08922    1.14489    1.17637     1.20847    1.27299  0.000987436
a_subj(HC.hoarding).16            1.05833   0.0652941    0.933144    1.01436    1.05612     1.10113    1.19364    0.0018465
a_subj(HC.hoarding).17           0.967721   0.0466632    0.881093   0.935731   0.967384    0.999149     1.0603   0.00128654
a_subj(HC.hoarding).18            1.40321     0.07614     1.26169    1.35158    1.40074     1.45255    1.56377   0.00221911
a_subj(HC.hoarding).19            1.26609   0.0677384     1.14562    1.21922    1.26249     1.30746    1.41313   0.00194748
a_subj(HC.hoarding).20            1.70527   0.0803944     1.55297    1.65099    1.70313     1.75747    1.86991   0.00228952
a_subj(HC.hoarding).21            1.85342   0.0759499     1.71134     1.8015    1.84967      1.9017    2.01036   0.00167108
a_subj(HC.hoarding).22            1.05235   0.0424058     0.97222    1.02361    1.05142      1.0799    1.13792  0.000868342
a_subj(HC.hoarding).23            1.83937    0.233986     1.42789    1.66739    1.82598     1.99917    2.31239    0.0147046
a_subj(HC.hoarding).24           0.884747   0.0370346    0.814025    0.85964   0.883607    0.908919   0.960602  0.000764615
a_subj(HC.hoarding).25            1.49674   0.0589406     1.38684    1.45482     1.4968     1.53633    1.61503   0.00125625
a_subj(HC.hoarding).26            1.06025     0.04451    0.976125     1.0291    1.05901     1.08989    1.15024  0.000855774
a_subj(HC.hoarding).27            1.03111    0.043036    0.947817    1.00205    1.02968     1.05986    1.11643   0.00114501
a_subj(HC.hoarding).28            1.52793   0.0685599     1.39916    1.48136    1.52472     1.57217    1.67032   0.00144489
a_subj(HC.hoarding).29            1.06758   0.0484425    0.979054    1.03504    1.06516     1.09792    1.17079   0.00100247
a_subj(HC.hoarding).30            1.35819   0.0579951     1.24925    1.31803    1.35752     1.39608    1.47672    0.0013526
a_subj(HC.hoarding).31            1.05864   0.0510113    0.970293    1.02311    1.05439     1.08974    1.16893   0.00122805
a_subj(HC.hoarding).32            1.86457   0.0784844     1.71857     1.8118    1.86156     1.91562    2.02994   0.00166807
a_subj(HC.hoarding).33            1.61488   0.0702406     1.48268    1.56721    1.61299     1.65997    1.75571   0.00164746
a_subj(HC.hoarding).34            1.08872   0.0455993     1.00261    1.05835    1.08709     1.11971    1.17924  0.000998861
a_subj(HC.hoarding).35            1.50021   0.0695117     1.37061    1.45184    1.49896     1.54659      1.642   0.00154614
a_subj(HC.hoarding).36            1.18926   0.0634516     1.07474    1.14431     1.1859     1.22979    1.32226   0.00188544
a_subj(HC.hoarding).37            1.47342   0.0675308      1.3445    1.42759    1.47072     1.51722    1.61113   0.00159498
a_subj(HC.hoarding).38            1.43647   0.0722186     1.29376    1.38785    1.43563     1.48531     1.5764   0.00192875
a_subj(HC.hoarding).39            1.66346   0.0687633     1.53263     1.6165    1.66327     1.70923    1.80156   0.00179615
