                                     mean         std        2.5q        25q        50q         75q      97.5q       mc err
t_subj(HC.hoarding).24           0.245149  0.00379891    0.236935    0.24282   0.245443    0.247899   0.251661  7.89531e-05
t_subj(HC.hoarding).25           0.116026   0.0105293   0.0933872   0.109446   0.116704    0.123451   0.134994  0.000216858
t_subj(HC.hoarding).26           0.141224  0.00539431    0.129511   0.137871   0.141635    0.144959   0.150352  0.000104754
t_subj(HC.hoarding).27           0.250625  0.00915049    0.232714   0.244093   0.251035    0.257451   0.267595  0.000232525
t_subj(HC.hoarding).28           0.363101   0.0197314    0.321826   0.352403   0.362794    0.373717   0.404521  0.000409583
t_subj(HC.hoarding).29           0.162119  0.00518769    0.151069   0.159225   0.162383    0.165364   0.171037  0.000123585
t_subj(HC.hoarding).30           0.196619   0.0134104    0.173305   0.187614   0.195022    0.204303   0.226286  0.000323488
t_subj(HC.hoarding).31           0.202464  0.00970401    0.175891   0.199702    0.20501    0.208746   0.214287   0.00025293
t_subj(HC.hoarding).32           0.283829   0.0228349    0.241824   0.269343    0.28258    0.297376   0.334997  0.000479005
t_subj(HC.hoarding).33           0.305968   0.0134805    0.276887   0.297557   0.306952    0.315462    0.32904  0.000317814
t_subj(HC.hoarding).34           0.165749  0.00634881    0.151934   0.161748   0.166298    0.170264   0.176674  0.000138173
t_subj(HC.hoarding).35           0.197709   0.0137044    0.166331   0.190174   0.198943    0.206666   0.222094  0.000307549
t_subj(HC.hoarding).36           0.240957  0.00661661    0.226696   0.237206   0.241619    0.245537   0.251985   0.00017301
t_subj(HC.hoarding).37           0.226126   0.0107554    0.202479   0.219566   0.226922    0.233692   0.244981  0.000235679
t_subj(HC.hoarding).38           0.204186   0.0145794    0.180175   0.194055   0.201878    0.211934   0.236255  0.000407721
t_subj(HC.hoarding).39           0.225055   0.0233615    0.188517   0.209662    0.22065    0.238264   0.279951  0.000615995
t_subj(HC.hoarding).40            0.26254   0.0187738    0.220737   0.251744   0.265961    0.275828   0.291499  0.000415942
t_subj(HC.hoarding).41           0.278803   0.0189592    0.230329   0.271736   0.282501    0.290752   0.303703   0.00118278
t_subj(HC.hoarding).42           0.227406   0.0293553    0.192648   0.202919   0.210019    0.261796      0.271   0.00260333
t_subj(HC.hoarding).43           0.113457   0.0106265   0.0902129    0.10667   0.114187    0.121105   0.132277  0.000244431
t_subj(HC.hoarding).44           0.313245   0.0130688    0.288067    0.30468   0.312979    0.321808   0.339282  0.000297807
t_subj(HC.hoarding).45           0.179862   0.0157099    0.149639   0.169148   0.179156    0.190829    0.20959  0.000337434
t_subj(HC.hoarding).46           0.171163   0.0057798    0.159021   0.167463   0.171582    0.175185   0.181267  0.000153405
t_subj(HC.hoarding).47           0.239051  0.00557656    0.225641   0.236568   0.240174    0.242899   0.247222  0.000178601
t_subj(HC.hoarding).48           0.220483  0.00501638    0.209313   0.217339   0.221347     0.22398   0.228901   0.00010681
t_subj(HC.hoarding).49           0.133461  0.00996926    0.113919   0.126211   0.133686    0.141268   0.150681  0.000213577
t_subj(HC.hoarding).50           0.149011   0.0170111    0.112843   0.137989   0.150454    0.160788   0.179311   0.00034631
t_subj(HC.hoarding).51           0.202983  0.00756777    0.180393   0.201258   0.204476    0.206946   0.211465  0.000256833
t_subj(HC.hoarding).52           0.221636   0.0107389    0.197863   0.215032   0.222662    0.229179   0.240025  0.000235744
t_subj(HC.neutral).10           0.0835884   0.0396574   0.0210962  0.0553391  0.0782643    0.105781   0.179972   0.00193777
t_subj(HC.neutral).12            0.560695   0.0580999    0.442983   0.519902   0.566083    0.605296   0.655638   0.00454636
t_subj(HC.neutral).13           0.0920663   0.0241866    0.040828  0.0761242  0.0934056    0.109062   0.135414   0.00130748
t_subj(HC.neutral).14            0.176532   0.0414912   0.0868147   0.149768   0.179685    0.207015   0.248255   0.00242113
t_subj(HC.neutral).15             0.15106   0.0273561   0.0947526   0.134395   0.151612    0.168688   0.204571   0.00144248
t_subj(HC.neutral).16           0.0529574   0.0187311   0.0179607  0.0399056  0.0527216   0.0654676  0.0897148  0.000755647
t_subj(HC.neutral).17            0.180127   0.0202887    0.136625   0.167967   0.181457    0.193724   0.218025    0.0010923
t_subj(HC.neutral).19           0.0403163   0.0182158   0.0102099  0.0274639  0.0387089   0.0514623  0.0775125  0.000717214
t_subj(HC.neutral).20            0.114932   0.0414339   0.0378237  0.0842787   0.114933    0.144119   0.194368   0.00173754
t_subj(HC.neutral).21            0.056809   0.0222536   0.0166349  0.0412376  0.0560757   0.0711297   0.104064  0.000718534
t_subj(HC.neutral).23            0.130003   0.0159414   0.0948713   0.119709    0.13195    0.141537   0.156285  0.000822132
t_subj(HC.neutral).24            0.143554   0.0232445   0.0967698   0.128528    0.14322    0.159798   0.189132   0.00168176
t_subj(HC.neutral).25           0.0894966   0.0222425    0.043661  0.0743625  0.0912467    0.105668   0.128583   0.00118003
t_subj(HC.neutral).26           0.0513366   0.0164636   0.0165704  0.0401704  0.0524533   0.0633706  0.0809254   0.00083011
t_subj(HC.neutral).28            0.173928   0.0160962    0.140025   0.163398   0.174972    0.185731   0.201895  0.000988902
t_subj(HC.neutral).31            0.159244   0.0242659    0.109752   0.142771   0.158326     0.17768   0.203269   0.00152222
t_subj(HC.neutral).32            0.081361   0.0173904   0.0428222  0.0707579  0.0832202   0.0938735   0.110551  0.000965247
t_subj(HC.neutral).33           0.0853376   0.0260828   0.0329285  0.0679053  0.0863165    0.103977   0.132994   0.00103563
t_subj(HC.neutral).34           0.0945091   0.0168948   0.0569151  0.0837002  0.0960727    0.106981   0.122758  0.000824655
t_subj(HC.neutral).39            0.172065    0.043508   0.0792216   0.144628   0.174708    0.200913   0.252445   0.00254311
t_subj(HC.neutral).40            0.182063   0.0141188    0.149084   0.174759   0.183942    0.191711   0.203489  0.000891762
t_subj(HC.neutral).41           0.0941767   0.0156929   0.0594343  0.0843983  0.0960968    0.105658   0.119475  0.000824074
t_subj(HC.neutral).43            0.123632   0.0121623   0.0964654   0.116316   0.124513    0.132262   0.144619  0.000545587
t_subj(HC.neutral).44            0.111235   0.0303007   0.0470919  0.0916804   0.113241    0.133277   0.165064   0.00172747
t_subj(HC.neutral).46            0.188237    0.012198    0.160275    0.18137   0.189875     0.19685   0.207678  0.000580799
t_subj(HC.neutral).48            0.171753   0.0191024    0.121469   0.164129   0.175685    0.184267   0.198627    0.0014813
t_subj(HC.neutral).49            0.076913   0.0164504   0.0426947  0.0664513   0.077833    0.088838   0.105311   0.00104911
t_subj(HC.neutral).52            0.238703   0.0157545    0.202592   0.229573   0.240578    0.249988   0.264041   0.00102603
t_subj(HC.neutral).53            0.137962   0.0200113   0.0958091   0.124925   0.139642      0.1521    0.17359    0.0014097
t_subj(HC.neutral).54           0.0937381   0.0255786   0.0428744  0.0769342  0.0937334    0.111205   0.143675   0.00115818
t_subj(HC.neutral).55           0.0608839   0.0177688   0.0247707  0.0484992  0.0619849   0.0739225   0.092661  0.000966044
t_subj(HC.neutral).56            0.160224    0.033189   0.0963317   0.137959   0.159075    0.182552   0.225105   0.00159599
t_subj(HC.neutral).57           0.0940228   0.0300069   0.0348454  0.0733937  0.0949202    0.115227   0.150239    0.0010786
t_subj(HC.neutral).58            0.149586   0.0221936    0.100183   0.135364    0.14965    0.164881    0.19161   0.00172167
t_subj(HC.neutral).59            0.132143   0.0148843   0.0984486   0.123376    0.13349    0.142547   0.157777  0.000927184
t_subj(HC.neutral).60            0.113716   0.0286108   0.0527981  0.0948853   0.115419    0.133752   0.166372   0.00114768
t_subj(HC.neutral).61           0.0858758   0.0171466   0.0484603   0.074736  0.0874348   0.0982627   0.114924   0.00080484
t_subj(HC.neutral).62            0.130322   0.0176189   0.0916016   0.119369     0.1317    0.142844   0.160356  0.000986491
alpha(DDA.hoarding)             -0.557238     1.45564    -3.45671   -1.49544  -0.579398    0.372868    2.38797    0.0729817
alpha(DDA.neutral)               -7.88511     1.52795    -11.0898   -8.86357   -7.81309    -6.77334    -5.2109     0.049758
alpha(HC.hoarding)              -0.241153    0.539979    -1.29238  -0.610422  -0.250833    0.108306    0.87295    0.0189497
alpha(HC.neutral)                -7.35623    0.883732    -9.30668   -7.90051   -7.27662    -6.73538   -5.83012    0.0418923
alpha_std                         2.85076    0.432309      2.1081    2.54942    2.80673     3.10667    3.82544    0.0239769
alpha_subj(DDA.hoarding).1       -1.78808    0.164189     -2.1074   -1.89859   -1.78854    -1.68523   -1.44372   0.00386987
alpha_subj(DDA.hoarding).2       -1.46854     3.74091    -7.61847   -4.49141   -2.14521     1.53514    5.75569     0.209401
alpha_subj(DDA.hoarding).3       -1.76436     3.38175    -7.72548   -4.08215   -2.38797    0.548693    5.22994      0.13047
alpha_subj(DDA.hoarding).4         1.9581     1.41752    0.145618    1.03819    1.61942     2.48216    5.83281    0.0343173
alpha_subj(DDA.hoarding).5       -1.32567      2.4112    -6.68905   -2.58029   -1.44057  -0.0880522    3.81456     0.113757
alpha_subj(DDA.hoarding).6      -0.598063     1.86468    -4.33056   -1.42336  -0.759063    0.128676    3.69109     0.101675
alpha_subj(DDA.hoarding).7        1.75533     2.20121     -1.7137   0.419472    1.57997     3.00968    6.34919     0.097288
alpha_subj(DDA.hoarding).8       -2.31701     3.46405    -8.08977   -4.75966   -2.85224   -0.138659    5.25883     0.132482
alpha_subj(DDA.hoarding).9      -0.169406     3.13734    -5.82825    -2.6085  -0.235445     2.03025     6.0615     0.135343
alpha_subj(DDA.neutral).1        -9.35964     2.35986    -14.4641   -10.7724    -9.0933    -7.62868    -5.6272    0.0723522
alpha_subj(DDA.neutral).2        -8.96105     2.51993    -14.6009   -10.5583   -8.61591    -7.06154   -5.07039    0.0604453
alpha_subj(DDA.neutral).3        -8.95861     2.46498    -14.5647   -10.4278   -8.63048    -7.11924   -5.08609    0.0599094
alpha_subj(DDA.neutral).4        -8.69285     2.67132    -14.6629    -10.341   -8.37033    -6.65972   -4.52862    0.0592952
alpha_subj(DDA.neutral).5        -8.82502     2.47687    -14.2656   -10.3918   -8.58862    -6.97948   -4.93032    0.0555187
alpha_subj(DDA.neutral).6        -8.11065      2.8106    -14.2882   -10.0216   -7.82761    -5.83605    -3.9253    0.0705551
alpha_subj(DDA.neutral).7        -7.97298     2.97276    -14.4855    -9.9683   -7.68187    -5.55705   -3.58744    0.0808378
alpha_subj(DDA.neutral).8        -8.91662     2.47564    -14.4745   -10.5193   -8.62817    -7.04243   -5.02419    0.0516227
alpha_subj(DDA.neutral).9        -8.52921     2.64378    -14.2474   -10.2077   -8.28994    -6.56366   -4.22472     0.060865
alpha_subj(HC.hoarding).10        1.18857     1.66424    -1.35133   0.171459   0.871183      1.9205    5.44816    0.0458131
alpha_subj(HC.hoarding).11      0.0861508    0.339982   -0.574088  -0.132439  0.0841031    0.310765   0.751876   0.00802268
alpha_subj(HC.hoarding).12       -3.12648     3.29601    -8.54907   -5.32336   -3.79362    -1.23386    4.44026     0.124547
alpha_subj(HC.hoarding).13       -1.21128     1.28552    -3.04753   -1.99511   -1.42172   -0.694843    2.14918    0.0374435
alpha_subj(HC.hoarding).14       -2.44396    0.809818    -3.34641   -2.98033   -2.72771    -2.21294   -0.33606    0.0556199
alpha_subj(HC.hoarding).15       0.319946     1.99196    -2.84464   -1.13065   0.181526     1.38304    5.01216    0.0845764
alpha_subj(HC.hoarding).16       -2.06848    0.218128    -2.48438    -2.2151    -2.0729    -1.92467   -1.64063   0.00503149
alpha_subj(HC.hoarding).17       0.880164    0.694143  -0.0849263   0.458736   0.771512     1.17813    2.46353    0.0152279
alpha_subj(HC.hoarding).18      -0.728881    0.345225     -1.3604  -0.969128  -0.748427   -0.502014 -0.0279848    0.0120933
alpha_subj(HC.hoarding).19        2.32025     1.49897    0.453082    1.31369    1.96177     2.94404    6.21298    0.0369261
alpha_subj(HC.hoarding).20        1.41424     1.47795   -0.486443   0.461947      1.074      1.9846    5.35421    0.0354669
alpha_subj(HC.hoarding).21       -1.65089     1.51143    -3.32235    -2.6319   -2.08496    -1.12232    2.53236    0.0762136
alpha_subj(HC.hoarding).22       -2.71676     2.85807    -7.28525    -4.5023   -3.27809    -1.46105    4.13742    0.0997437
alpha_subj(HC.hoarding).23       -6.51906     1.37307    -9.87226   -7.23256   -6.26558    -5.55263   -4.54898    0.0390277
alpha_subj(HC.hoarding).24       0.885713     2.06194    -2.09935  -0.570257    0.47684     2.00819    5.87116    0.0562377
alpha_subj(HC.hoarding).25      -0.174357     3.71476    -5.40779   -3.83196   0.843448     2.86747    6.19429     0.295755
alpha_subj(HC.hoarding).26        3.11018     1.62379    0.637202    1.93838    2.88105     3.99907    6.86454    0.0359612
alpha_subj(HC.hoarding).27       -2.03113     2.86153    -7.01352   -3.89396   -2.42244    -0.39372     4.4027    0.0697224
alpha_subj(HC.hoarding).28       -0.77943     1.10909     -2.4024    -1.4685  -0.921161   -0.296006    1.97736    0.0436641
alpha_subj(HC.hoarding).29       0.811012    0.702716   -0.228813   0.356678   0.721791     1.12507    2.38544    0.0144883
alpha_subj(HC.hoarding).30       -1.67006    0.684186    -2.82973    -2.1365   -1.72652    -1.27641  -0.157876    0.0173041
alpha_subj(HC.hoarding).31      -0.281953     1.19279    -1.76144   -1.05448  -0.543352    0.174239    2.91494    0.0445655
alpha_subj(HC.hoarding).32       0.133118    0.998742    -1.23611  -0.472194 -0.0313329    0.522674    2.64193    0.0362218
alpha_subj(HC.hoarding).33         1.1969     1.24413   -0.449157   0.449237   0.959867     1.60944    4.58138    0.0269281
alpha_subj(HC.hoarding).34        1.84399     2.05508    -1.84991   0.584187    1.61896     2.94404    6.40859    0.0502022
alpha_subj(HC.hoarding).35        2.28857     1.45786    0.291714    1.25748    1.98019     3.01229    5.92093     0.036252
alpha_subj(HC.hoarding).36      -0.209487    0.320333   -0.816999  -0.426581  -0.220821 -0.00173648     0.4382   0.00851149
alpha_subj(HC.hoarding).37        3.12047     1.52165     1.06682    2.03913    2.80046     3.89181    6.70051    0.0403059
alpha_subj(HC.hoarding).38        4.35074     1.50239     2.09954    3.30139    4.10646     5.15318    7.98097    0.0386728
alpha_subj(HC.hoarding).39       -1.56583     1.38625    -3.55624   -2.55043   -1.76589   -0.830336    1.57323    0.0695363
alpha_subj(HC.hoarding).40       -3.20185     2.87592    -7.84041   -4.95836   -3.76103    -1.98841     3.7708      0.10558
alpha_subj(HC.hoarding).41       -6.44578     1.39138     -9.8698    -7.1542   -6.21607    -5.45897   -4.44939    0.0325913
alpha_subj(HC.hoarding).42       -2.14607    0.436387    -2.96297   -2.44884   -2.15514    -1.86645    -1.2538    0.0143598
alpha_subj(HC.hoarding).43       -1.82352     2.96619    -7.14338   -3.77825   -2.20355  -0.0126473     4.5433    0.0633466
alpha_subj(HC.hoarding).44      -0.414493     2.27744    -3.59824   -2.07276   -0.92203    0.868814    5.20317    0.0876328
alpha_subj(HC.hoarding).45       -3.14208     3.51196    -8.73379   -5.82219   -3.70937   -0.782603    4.11491      0.15161
alpha_subj(HC.hoarding).46        2.75086     1.34554     1.12694    1.82658    2.38669     3.34199    6.23732    0.0344602
alpha_subj(HC.hoarding).47       -0.87696    0.264089    -1.38031   -1.05749  -0.881776    -0.70443  -0.341498   0.00831767
alpha_subj(HC.hoarding).48       0.899458     1.25843     -0.8311   0.134226   0.655889     1.36743    4.31392    0.0303141
alpha_subj(HC.hoarding).49        2.68168     1.43998    0.777274    1.68023    2.34899     3.32858     6.4277    0.0336801
alpha_subj(HC.hoarding).50        1.54833     1.86448    -1.70702   0.346155    1.29865     2.55112    5.91062     0.050285
alpha_subj(HC.hoarding).51       0.749711    0.885879   -0.453892   0.206538   0.598894     1.08559     3.0235    0.0205714
alpha_subj(HC.hoarding).52        1.85863     1.20152    0.417667    1.10021    1.56488     2.25259    5.31172    0.0279353
alpha_subj(HC.neutral).10        -8.54159     2.33027    -14.1107   -9.91276   -8.24281     -6.8002   -4.86418     0.057851
alpha_subj(HC.neutral).12        -7.77638     2.64045    -13.6173    -9.4581   -7.42794    -5.72115   -3.83992     0.119434
alpha_subj(HC.neutral).13        -8.39648       2.467    -13.8434   -9.92723   -8.10834    -6.53755   -4.51792    0.0623647
alpha_subj(HC.neutral).14        -8.68582     2.22173     -13.783   -10.0276   -8.42587    -7.02522   -5.28835     0.055527
alpha_subj(HC.neutral).15        -8.25689     2.46752    -13.9321    -9.7802   -7.94893    -6.38967   -4.51199    0.0677274
alpha_subj(HC.neutral).16        -8.60212     2.37118    -13.9668   -10.0219   -8.27605    -6.86998   -4.86871    0.0609398
alpha_subj(HC.neutral).17        -7.16289     2.73568    -13.3365   -8.91245   -6.71034    -4.92919   -3.32677    0.0658307
alpha_subj(HC.neutral).19         -8.5587      2.2751     -13.581   -9.95525   -8.25982    -6.87598   -4.91716    0.0577523
alpha_subj(HC.neutral).20        -8.11959     2.54188    -13.7868   -9.72756   -7.81989    -6.21912   -4.07746    0.0597478
alpha_subj(HC.neutral).21        -8.34728     2.46541    -13.9602   -9.85175   -8.03062    -6.52128   -4.47739    0.0592482
alpha_subj(HC.neutral).23        -7.78814     2.59317    -13.5899   -9.34609   -7.45359    -5.81579   -3.86671    0.0784456
alpha_subj(HC.neutral).24        -6.69277     2.79164     -13.095   -8.43926   -6.06751    -4.35591   -3.25619    0.0804687
alpha_subj(HC.neutral).25        -8.69687     2.32232    -14.0056   -10.1248   -8.37326    -6.96259   -5.19953    0.0574101
alpha_subj(HC.neutral).26        -7.97686     2.54589    -13.3517   -9.64677   -7.71097    -6.01572     -3.917    0.0695953
alpha_subj(HC.neutral).28        -7.89717     2.66834    -13.9598   -9.58006   -7.56689    -5.88753   -3.78102    0.0616627
alpha_subj(HC.neutral).31        -7.32563     2.69202    -13.2702   -9.07183   -6.98772    -5.11607   -3.45263    0.0696063
alpha_subj(HC.neutral).32        -8.65777     2.34472    -14.0484   -9.95921   -8.30395    -6.96466   -5.03706    0.0601194
alpha_subj(HC.neutral).33        -7.20359      2.7092    -13.1826   -8.94678   -6.80377    -5.00743   -3.37475    0.0653608
alpha_subj(HC.neutral).34         -8.2954     2.34956    -13.5468   -9.70775   -8.00128    -6.53699   -4.59827     0.054943
alpha_subj(HC.neutral).39        -2.79619    0.540578    -3.65237   -2.95015   -2.71764    -2.53642   -2.24731    0.0176097
alpha_subj(HC.neutral).40        -7.95053     2.48412    -13.5557   -9.44624   -7.66068     -6.1179   -4.08629    0.0601161
alpha_subj(HC.neutral).41        -7.76089     2.62199    -13.5654   -9.41556   -7.44853    -5.70013    -3.8264    0.0631645
alpha_subj(HC.neutral).43        -7.57813     2.64931    -13.4334   -9.29386   -7.24575    -5.45953    -3.7675    0.0674103
alpha_subj(HC.neutral).44        -8.58532     2.28972    -13.7811   -9.97714   -8.28045    -6.87592   -5.07303    0.0569394
alpha_subj(HC.neutral).46        -5.73849     2.59515    -12.1902   -7.15326   -4.65459    -3.76913    -3.1227    0.0844811
alpha_subj(HC.neutral).48        -7.97586       2.527    -13.7092   -9.53807   -7.70264    -6.09307    -3.9621    0.0543798
alpha_subj(HC.neutral).49        -3.65775     1.66486    -9.27784   -3.59742   -3.15053    -2.86723   -2.52084    0.0740298
alpha_subj(HC.neutral).52        -8.00565      2.5034    -13.4028   -9.54955   -7.74092    -6.15963    -3.9623    0.0593977
alpha_subj(HC.neutral).53        -8.92436     2.20529    -13.9388   -10.2746   -8.60531    -7.30798   -5.49283    0.0606136
alpha_subj(HC.neutral).54        -8.59939     2.38728    -14.0985   -10.0452   -8.29721    -6.84347   -4.91652    0.0593865
alpha_subj(HC.neutral).55        -8.26008     2.46141    -13.7905   -9.75882   -7.91926    -6.42834   -4.46893    0.0630816
alpha_subj(HC.neutral).56        -2.97246     1.17819    -5.61911   -3.02232   -2.73096    -2.52243   -2.22806    0.0431189
alpha_subj(HC.neutral).57        -7.34404     2.87573    -13.8682   -9.08094   -7.00394    -5.08994   -3.26951     0.078711
alpha_subj(HC.neutral).58        -8.28157     2.40874    -13.7149   -9.71512   -7.99245    -6.51493   -4.58897    0.0603062
alpha_subj(HC.neutral).59         -8.2343     2.40014    -13.7371   -9.63036    -7.9336    -6.44544   -4.55015    0.0598538
alpha_subj(HC.neutral).60        -8.54607     2.42886    -14.2758   -9.98603   -8.25132    -6.78753   -4.73788    0.0562982
alpha_subj(HC.neutral).61        -5.24716     2.42571    -11.4675   -6.32927    -4.1671    -3.54766   -3.01448    0.0706391
alpha_subj(HC.neutral).62        -7.34272      2.7011    -13.1199   -9.14864   -7.08946    -5.19939    -3.2349    0.0699242
pos_alpha(DDA.hoarding)           2.02188       2.464    -2.68212   0.427727    1.84258     3.63775    7.07918     0.161978
pos_alpha(DDA.neutral)           0.553506     1.15683    -1.67712  -0.191995    0.51347     1.31113    2.96199    0.0358999
pos_alpha(HC.hoarding)            3.07264     1.02483     1.04987      2.423    3.03243     3.67549    5.31541    0.0688538
pos_alpha(HC.neutral)             2.77157     0.99067    0.710596    2.12256    2.73782     3.40595    4.85331    0.0642405
pos_alpha_std                     2.96296      0.9122   0.0532235    2.56772    3.00006     3.48396    4.59204     0.077196
pos_alpha_subj(DDA.hoarding).1    4.25087     2.44064    0.989875    2.41175     3.8078     5.58505    10.1262     0.104738
pos_alpha_subj(DDA.hoarding).2   0.993661     4.50923    -5.19941   -3.41815    1.20402      4.5293    9.43757     0.301679
pos_alpha_subj(DDA.hoarding).3    1.28276     4.64402    -7.85649   -2.28315    1.57271     4.43428    9.90072      0.22639
pos_alpha_subj(DDA.hoarding).4    3.55201     2.83866     -0.7043    1.31634    3.04599      5.2869    10.1598     0.132354
pos_alpha_subj(DDA.hoarding).5    1.52878     4.17191    -6.04561   -1.97192    1.33043     4.52657    9.73768     0.222835
pos_alpha_subj(DDA.hoarding).6    1.88196     3.63551    -3.12682   -1.27506    1.23848      4.4338    9.98671     0.187368
pos_alpha_subj(DDA.hoarding).7    3.89673     2.95041   -0.128841    1.80365    3.48569     5.60695    10.3975     0.151396
pos_alpha_subj(DDA.hoarding).8    1.01701     4.64039    -7.85191   -2.64662    1.19957     4.38062    9.69344     0.245289
pos_alpha_subj(DDA.hoarding).9    1.61087     4.46391    -7.56467  -0.839083    1.66022     4.62649    9.78127     0.255598
pos_alpha_subj(DDA.neutral).1    -2.92249     0.96314    -3.53218   -3.24682   -3.12019    -2.98193     1.3081    0.0929468
pos_alpha_subj(DDA.neutral).2     2.62686     2.14117  -0.0239075    1.11795    2.03841     3.67739     8.2809    0.0656997
pos_alpha_subj(DDA.neutral).3    -2.02905    0.855939    -3.01329   -2.47641   -2.17829    -1.85657    1.31886    0.0741911
pos_alpha_subj(DDA.neutral).4     1.34875     2.24447   -0.903447  -0.206323   0.555698     2.13619    7.71769    0.0714508
pos_alpha_subj(DDA.neutral).5   -0.203685      1.1146    -1.43284  -0.820763  -0.431011   0.0633525    2.17644    0.0425233
pos_alpha_subj(DDA.neutral).6     2.68822     2.17328   -0.187302    1.15969    2.15028     3.87754    7.99093    0.0681731
pos_alpha_subj(DDA.neutral).7    0.342917     1.53575    -1.31878  -0.528164 -0.0612512    0.750342    4.55405     0.048876
pos_alpha_subj(DDA.neutral).8    0.393446      2.0416    -2.30058   -1.03236  0.0290122     1.31448    6.04623    0.0460146
pos_alpha_subj(DDA.neutral).9      3.2014      2.1843    0.191809    1.53752    2.79056     4.36175    8.79616    0.0741021
pos_alpha_subj(HC.hoarding).10    4.37653     2.60896      0.4934    2.41324     4.0789     5.94122    10.3417     0.107766
pos_alpha_subj(HC.hoarding).11    4.10042     2.53796     0.80798    2.13256    3.64096      5.5751    10.3908    0.0990254
pos_alpha_subj(HC.hoarding).12     2.5869      3.2737    -3.43046   0.543843    2.22562     4.67762    9.53917    0.0945782
pos_alpha_subj(HC.hoarding).13    4.67983     2.57939    0.939203    2.82872    4.38322      6.2008    10.7083     0.111952
pos_alpha_subj(HC.hoarding).14   -1.46406    0.991796    -2.35178   -1.92234    -1.6833    -1.36512    1.05995    0.0732357
pos_alpha_subj(HC.hoarding).15    4.56615     2.53221    0.979637    2.71472    4.20942     6.03878    10.4794     0.103625
pos_alpha_subj(HC.hoarding).16    4.83634     2.45236     1.04176    3.11223    4.50232     6.24595    10.6265     0.111269
pos_alpha_subj(HC.hoarding).17    1.42463     2.13678   -0.675516   0.182246   0.798808     1.68656    7.86653    0.0750602
pos_alpha_subj(HC.hoarding).18    1.22388     1.94064   -0.610616   0.136848   0.649948     1.38418    6.97994    0.0625329
pos_alpha_subj(HC.hoarding).19    4.46617     2.52626    0.884439     2.6112    4.16416     5.93277    10.2626     0.103399
pos_alpha_subj(HC.hoarding).20    5.01147     2.50074     1.02081    3.33176    4.74186     6.38678    10.7675     0.115081
pos_alpha_subj(HC.hoarding).21    3.99639     2.67293    0.110112    1.92726    3.63884     5.57202    10.1794    0.0954436
pos_alpha_subj(HC.hoarding).22   0.986751     3.87365    -4.96548   -2.14556    0.86417     3.73986    9.29025     0.131328
pos_alpha_subj(HC.hoarding).23  -0.087738    0.700903   -0.894319  -0.463883  -0.205802    0.119185    1.11879    0.0311874
pos_alpha_subj(HC.hoarding).24    3.50177     2.76408   -0.230161    1.24495    2.96429     5.10073    9.99292    0.0913741
pos_alpha_subj(HC.hoarding).25    1.16304     3.76642    -3.28786   -2.15556   0.618206     4.09028    9.21267     0.286745
pos_alpha_subj(HC.hoarding).26    4.08471     2.69681   0.0567165    1.99926    3.75264     5.70333    10.2617    0.0970383
pos_alpha_subj(HC.hoarding).27     2.1203     3.85017    -5.45257  -0.139701    2.24885     4.62617    9.59986     0.115194
pos_alpha_subj(HC.hoarding).28    3.78147     2.76231    -0.67652    1.66022    3.35552      5.5044     10.062     0.103145
pos_alpha_subj(HC.hoarding).29     4.2872      2.5858    0.713032    2.30188    3.89876     5.75857    10.2573     0.103793
pos_alpha_subj(HC.hoarding).30    3.98417      2.7169  -0.0889068    1.88148    3.61258     5.59964    10.4875     0.100676
pos_alpha_subj(HC.hoarding).31   0.891607     2.75674    -2.02719   -0.94256  -0.141593       1.827    8.35475     0.100816
pos_alpha_subj(HC.hoarding).32   0.133033     3.13927    -3.16993   -2.04777   -1.07729      1.3228    8.42459     0.191227
pos_alpha_subj(HC.hoarding).33    4.79861     2.54247    0.999621    2.97156    4.50517     6.20882    10.6546     0.109167
pos_alpha_subj(HC.hoarding).34    3.96536     2.91394     -0.9094    1.88766    3.66611     5.71589    10.5712    0.0982546
pos_alpha_subj(HC.hoarding).35    4.86501     2.56744     1.02124    3.04125    4.52533     6.28435    10.8255     0.109989
pos_alpha_subj(HC.hoarding).36     4.6581     2.45943     1.02122    2.85372    4.28414      6.1249    10.3863     0.108047
pos_alpha_subj(HC.hoarding).37    4.80005     2.43427     1.04266    3.11898    4.42769     6.13999     10.596     0.107797
pos_alpha_subj(HC.hoarding).38    2.42926      2.3955   -0.135566   0.813165    1.55957     3.46237    8.79371    0.0897093
pos_alpha_subj(HC.hoarding).39    3.94696     2.68663    0.186021    1.81464    3.50145     5.56316    10.3359    0.0984284
pos_alpha_subj(HC.hoarding).40    3.31162     3.30054    -3.36085     1.1392    3.20472     5.34196      10.01    0.0997889
pos_alpha_subj(HC.hoarding).41     3.7767     2.59231    0.596973    1.76394    3.21703     5.17934    10.1221    0.0952198
pos_alpha_subj(HC.hoarding).42    1.89281     2.40665   -0.759786   0.355669    1.08851     2.62306    8.38265    0.0791104
pos_alpha_subj(HC.hoarding).43    3.12516     3.46745    -4.42341    1.05033    3.09826     5.26844    10.1614    0.0994285
pos_alpha_subj(HC.hoarding).44    3.63628     2.81083    -1.17823    1.46511    3.39333     5.34279    9.96729     0.113394
pos_alpha_subj(HC.hoarding).45    1.01408     3.73743    -6.00282  -0.785953   0.568771     3.39258    8.71693     0.170624
