ii                                    mean         std        2.5q        25q         50q        75q      97.5q       mc_err
a_subj(HC.hoarding).38             1.10964   0.0477275     1.02102    1.07736     1.10824    1.14004    1.20911   0.00112007
a_subj(HC.hoarding).39             1.49399   0.0691221     1.36323    1.44769     1.49079      1.537     1.6342   0.00160354
a_subj(HC.hoarding).40             1.18571     0.06093     1.07254    1.14391     1.18333    1.22671    1.31187    0.0016994
a_subj(HC.hoarding).41             1.47086   0.0677599     1.34429    1.42299     1.46882    1.51783    1.60839   0.00167799
a_subj(HC.hoarding).42             1.43554   0.0711939     1.29767    1.38765     1.43562    1.48347    1.57451   0.00193318
a_subj(HC.hoarding).43             1.62451   0.0669655     1.49903     1.5786      1.6236    1.66798    1.76321   0.00160604
a_subj(HC.hoarding).44             1.59522   0.0649439     1.47384    1.55063     1.59233    1.63718    1.73227   0.00144765
a_subj(HC.hoarding).45             1.62639    0.169326     1.35502    1.50796     1.60559    1.72194    2.01594   0.00918311
a_subj(HC.hoarding).46             1.05265   0.0757393    0.902304   0.990837     1.06909    1.10851     1.1778   0.00571822
a_subj(HC.hoarding).47             1.33205   0.0528289     1.23408    1.29547     1.32997    1.36706    1.44041   0.00139251
a_subj(HC.hoarding).48             1.44784   0.0569938      1.3391    1.40835     1.44695     1.4865    1.56218   0.00110808
a_subj(HC.hoarding).49             1.49462   0.0600107     1.38047    1.45335     1.49368    1.53513    1.61416   0.00151672
a_subj(HC.hoarding).50             1.15405   0.0604095     1.04051    1.11266     1.15014    1.19299    1.28457   0.00167048
a_subj(HC.hoarding).51             1.01836   0.0655094    0.898943   0.971482     1.01444    1.06343    1.15522   0.00237414
a_subj(HC.hoarding).52            0.852039   0.0388086    0.778092   0.825714    0.850036     0.8765   0.932599   0.00086281
a_subj(HC.hoarding).53              1.3128   0.0572155     1.20746     1.2733      1.3111    1.34954    1.42856   0.00128414
a_subj(HC.hoarding).54              1.8127   0.0694203     1.68318    1.76602     1.81107      1.859    1.95201   0.00148721
a_subj(HC.hoarding).55            0.922138   0.0621262    0.825034   0.880089      0.9139   0.952114    1.08251   0.00313967
a_subj(HC.hoarding).56             1.65418   0.0795618     1.50637     1.5995       1.651    1.70555    1.81793   0.00199958
a_subj(HC.neutral).14              1.61495    0.064261     1.49102    1.57048      1.6137    1.65685    1.74589   0.00123715
a_subj(HC.neutral).15              1.46109   0.0759907     1.31727    1.40934     1.45861    1.51007    1.61548    0.0020217
a_subj(HC.neutral).16              1.23823   0.0522864     1.14256    1.20287     1.23568    1.27207    1.34493   0.00116469
a_subj(HC.neutral).17               1.2869   0.0496698     1.19278    1.25173      1.2857    1.32017    1.38854   0.00100805
a_subj(HC.neutral).18              1.40885   0.0701278     1.27984    1.35845      1.4069    1.45795    1.54435   0.00223084
a_subj(HC.neutral).19              1.30586   0.0579288     1.19656    1.26578     1.30392    1.34318    1.42757   0.00140048
a_subj(HC.neutral).20              1.25511    0.077545     1.11735    1.20032     1.25203    1.30573    1.41907   0.00270175
a_subj(HC.neutral).21              1.17094   0.0545827     1.07178    1.13432     1.16834    1.20734    1.27928   0.00130487
a_subj(HC.neutral).23              1.34012   0.0612756     1.22536    1.29903     1.33713    1.37829    1.46989   0.00127537
a_subj(HC.neutral).24              1.90614   0.0762911     1.76224    1.85255     1.90465    1.95767     2.0583   0.00158892
a_subj(HC.neutral).25              1.53105   0.0627012     1.41381    1.48853     1.52834     1.5705    1.66155   0.00155412
a_subj(HC.neutral).26               1.0431   0.0527065    0.945908    1.00747     1.04064    1.07706    1.15282   0.00129387
a_subj(HC.neutral).27             0.997491   0.0398596    0.922528   0.969755    0.996834    1.02313    1.07835  0.000858874
a_subj(HC.neutral).28             0.997712    0.051567    0.903265   0.961841    0.995327    1.03152    1.10709   0.00143151
a_subj(HC.neutral).29              1.27323   0.0538555     1.16843    1.23599      1.2729    1.30884     1.3817   0.00122699
a_subj(HC.neutral).30              1.08615   0.0437744     1.00503    1.05585      1.0842    1.11542    1.17727  0.000858757
a_subj(HC.neutral).32              1.01729   0.0493279    0.924479   0.984067     1.01598    1.05011    1.11652   0.00125519
a_subj(HC.neutral).35              1.11616   0.0495684     1.02351    1.08175     1.11434    1.14799    1.21905   0.00115243
a_subj(HC.neutral).36             0.984404   0.0410996    0.908293   0.956946    0.982534     1.0105    1.06723   0.00090677
a_subj(HC.neutral).37              1.55237   0.0702722     1.42357    1.50331     1.55025    1.59815    1.69757   0.00189214
a_subj(HC.neutral).38              1.01214   0.0493716    0.921612   0.978034     1.01047    1.04475    1.10993   0.00141728
a_subj(HC.neutral).40             0.938957   0.0304644    0.881119   0.918278    0.938092   0.958413    1.00089  0.000690869
a_subj(HC.neutral).43              1.72147   0.0896763     1.56078    1.65691     1.71688    1.78173    1.90932   0.00204274
a_subj(HC.neutral).44               0.9741   0.0456713    0.882643   0.943687    0.973822    1.00433    1.06358   0.00108317
a_subj(HC.neutral).45              0.97277     0.03836    0.900776   0.946538    0.972259   0.998062    1.04978  0.000787455
a_subj(HC.neutral).47             0.860775   0.0362356    0.793256   0.836472    0.858966    0.88341    0.93613   0.00100251
a_subj(HC.neutral).48              1.29841    0.048525     1.20925    1.26427     1.29656    1.32931    1.39789   0.00106488
a_subj(HC.neutral).50              1.00662   0.0491842    0.912962   0.973084     1.00592    1.03911    1.10441   0.00137434
a_subj(HC.neutral).52             0.871116   0.0383113    0.798624   0.844946    0.871167   0.896158   0.946854  0.000844806
a_subj(HC.neutral).53             0.947227    0.103901    0.793265   0.860361    0.927441    1.03582    1.14396   0.00897295
a_subj(HC.neutral).56               1.0019   0.0525038     0.90407   0.964784    0.999713    1.03704    1.10899   0.00168973
a_subj(HC.neutral).57              1.13864   0.0602295     1.02577     1.0991     1.13694    1.17731    1.26132   0.00171457
a_subj(HC.neutral).58              1.30756   0.0561725     1.20269    1.26897     1.30528    1.34457      1.421   0.00118705
a_subj(HC.neutral).59              1.05371   0.0413649    0.977722     1.0243     1.05271    1.08123    1.13883  0.000914544
a_subj(HC.neutral).60              1.58666    0.075526     1.44541    1.53561     1.58479     1.6368    1.73772   0.00205889
a_subj(HC.neutral).61               1.5856    0.058848     1.47357    1.54536      1.5839    1.62485    1.70722   0.00122314
a_subj(HC.neutral).62             0.836013   0.0374921    0.766369   0.810554    0.834637   0.860426   0.912026  0.000879571
a_subj(HC.neutral).63             0.948334   0.0458064    0.864561   0.916526    0.946476   0.977695    1.04494   0.00117748
a_subj(HC.neutral).64              1.53038   0.0586184     1.41895    1.49101     1.52897    1.56862    1.65038   0.00132841
a_subj(HC.neutral).65              1.15701   0.0498902     1.06459    1.12162     1.15498    1.18982    1.26037   0.00111715
a_subj(HC.neutral).66             0.991159   0.0664266    0.873467    0.94328    0.985103    1.03414    1.13134   0.00369134
a_subj(HC.neutral).67              1.06674   0.0488891    0.975902    1.03278     1.06477    1.09791    1.16988    0.0011134
v(DDA.hoarding)                    2.80652    0.900724     1.08934    2.19211     2.79393    3.39478    4.65143    0.0359137
v(DDA.neutral)                     3.31526    0.813756     1.71612    2.77223      3.2979    3.87113    4.95609    0.0198881
v(HC.hoarding)                     1.68288    0.437873    0.827917    1.38457     1.69018    1.97689    2.53418     0.010105
v(HC.neutral)                      1.98448    0.442365     1.10039    1.69273     1.98953    2.28548    2.82003   0.00921056
v_std                              2.74252    0.228552     2.34054    2.58256     2.72485    2.88157    3.23645   0.00704121
v_subj(DDA.hoarding).1             1.98406    0.270547     1.52968    1.79596     1.96033    2.14303    2.58677   0.00938182
v_subj(DDA.hoarding).2             9.01024    0.791764     7.47371    8.47158     9.00322    9.53538    10.5838     0.023547
v_subj(DDA.hoarding).3             3.23338     2.84674   -0.592122   0.595666     3.14665     5.3316    9.01636     0.170473
v_subj(DDA.hoarding).4             2.37879    0.246491     1.90926    2.20638     2.37466    2.54818    2.87279   0.00438852
v_subj(DDA.hoarding).5             2.49276     2.35136   -0.817742   0.596999     2.11438    3.96682    7.85269     0.069192
v_subj(DDA.hoarding).6             2.54807    0.808929     1.51234    2.00143     2.38168    2.89039    4.62929    0.0476612
v_subj(DDA.hoarding).7            -1.19935     1.45327     -3.5221   -1.94943    -1.22018  -0.684058    2.87354    0.0652155
v_subj(DDA.hoarding).8             2.16943     1.28233     0.50422    1.20182     1.94038    2.85776    5.33503     0.059469
v_subj(DDA.hoarding).9             1.01841    0.938026    0.322762   0.515518    0.657201    1.01659    3.91613    0.0611328
v_subj(DDA.hoarding).10          -0.253521     1.62748    -3.03757   -1.20351   -0.303601   0.305076    3.73697    0.0486761
v_subj(DDA.hoarding).11            7.87905     1.55184     5.19145    6.79916     7.73626    8.81876    11.3435    0.0717675
v_subj(DDA.hoarding).12            2.16065     2.31353 -0.00230192   0.423551    0.969687    3.66451    7.79744     0.120219
v_subj(DDA.hoarding).13            3.46462     1.75751   -0.720468    2.81159     3.52269     4.2827    6.72059     0.110212
