response,stim,rt,trial,feedback,subj_code,q_init
0,neutral,0.463,80,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.397,81,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.683,82,0,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.503,83,0,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.536,84,0,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.615,85,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.812,86,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,1.027,87,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.603,88,0,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.795,89,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.23,90,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.65,91,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.468,92,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.821,93,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.695,94,0,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.357,95,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.5,96,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.524,97,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.773,98,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,1.161,99,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.69,100,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.467,101,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.58,102,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.295,103,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.597,104,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.459,105,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.723,106,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.515,107,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,1.355,108,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.672,109,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.456,110,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.384,111,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.267,112,0,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.308,113,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.514,114,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.777,115,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.46,116,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.345,117,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.448,118,0,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.262,119,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.351,120,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.728,121,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.809,122,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.486,123,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.279,124,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.641,125,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.484,126,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.323,127,0,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.623,128,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.44,129,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.768,130,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.525,131,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.615,132,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.377,133,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.252,134,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.449,135,0,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.952,136,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.697,137,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.883,138,0,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.357,139,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.507,140,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.895,141,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.622,142,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.319,143,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,1.407,144,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.646,145,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.386,146,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.323,147,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.399,148,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.592,149,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.329,150,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.298,151,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.401,152,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.289,153,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.552,154,0,fa_fa_1974_05_14_03_f,0.5
1,neutral,1.467,155,0,fa_fa_1974_05_14_03_f,0.5
0,neutral,1.218,156,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,0.631,157,1,fa_fa_1974_05_14_03_f,0.5
1,neutral,1.001,158,0,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.686,159,1,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.598,160,0,fa_fa_1974_05_14_03_f,0.5
0,neutral,0.94398491506543,1,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,0.873,2,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,0.655,3,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,0.78,4,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.749,5,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.763,6,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.951,7,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.577,8,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.858,9,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.435,10,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.435,11,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.92,12,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.295,13,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.827,14,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.981,15,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.052,16,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,0.674,17,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.346,18,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.308,19,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.072,20,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.765,21,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,0.729,22,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.698,23,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,0.763,24,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,0.83,25,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.542,26,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.228,27,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.962,28,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,2.032,29,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.591,30,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.833,31,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,0.849,32,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.5,33,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.006,34,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.701,35,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.261,36,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.489,37,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.029,38,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.886,39,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.348,40,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.283,41,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,2.188,42,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.761,43,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.543,44,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,0.764,45,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.387,46,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.365,47,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.457,48,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,0.997,49,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.128,50,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.011,51,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.209,52,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.331,53,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,2.011,54,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.111,55,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.838,56,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.156,57,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.773,58,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.846,59,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.98,60,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.439,61,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.305,62,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.061,63,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.842,64,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,0.966,65,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.399,66,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.19,67,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.807,68,0,gi_ba_1958_08_17_01_m,0.5
0,neutral,1.165,69,1,gi_ba_1958_08_17_01_m,0.5
0,neutral,2.34,70,0,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.719,71,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,0.979,72,1,gi_ba_1958_08_17_01_m,0.5
1,neutral,1.148,73,1,gi_ba_1958_08_17_01_m,0.5
