response,stim,rt,trial,feedback,subj_code,q_init
1,neutral,0.808255076040665,1,0,pa_me_1968_07_10_05_f,0.5
1,neutral,0.37,2,0,pa_me_1968_07_10_05_f,0.5
0,neutral,0.876,3,0,pa_me_1968_07_10_05_f,0.5
0,neutral,0.878463590684648,4,1,pa_me_1968_07_10_05_f,0.5
0,neutral,0.554,5,0,pa_me_1968_07_10_05_f,0.5
1,neutral,0.604,6,1,pa_me_1968_07_10_05_f,0.5
0,neutral,0.334,7,0,pa_me_1968_07_10_05_f,0.5
0,neutral,1.19,8,1,pa_me_1968_07_10_05_f,0.5
0,neutral,0.583,9,1,pa_me_1968_07_10_05_f,0.5
0,neutral,0.664,10,1,pa_me_1968_07_10_05_f,0.5
1,neutral,0.244,11,0,pa_me_1968_07_10_05_f,0.5
0,neutral,1.319,12,1,pa_me_1968_07_10_05_f,0.5
0,neutral,0.685,13,1,pa_me_1968_07_10_05_f,0.5
0,neutral,0.423,14,0,pa_me_1968_07_10_05_f,0.5
1,neutral,0.673,15,0,pa_me_1968_07_10_05_f,0.5
1,neutral,1.245,16,0,pa_me_1968_07_10_05_f,0.5
0,neutral,0.739,17,0,pa_me_1968_07_10_05_f,0.5
0,neutral,0.662,18,0,pa_me_1968_07_10_05_f,0.5
0,neutral,0.645,19,1,pa_me_1968_07_10_05_f,0.5
1,neutral,0.791244265185692,20,0,pa_me_1968_07_10_05_f,0.5
1,neutral,1.61,21,1,pa_me_1968_07_10_05_f,0.5
1,neutral,0.451,22,0,pa_me_1968_07_10_05_f,0.5
1,neutral,0.714,23,1,pa_me_1968_07_10_05_f,0.5
1,neutral,0.708,24,0,pa_me_1968_07_10_05_f,0.5
1,neutral,0.784,25,1,pa_me_1968_07_10_05_f,0.5
1,neutral,0.516,26,0,pa_me_1968_07_10_05_f,0.5
1,neutral,1.161,27,0,pa_me_1968_07_10_05_f,0.5
1,neutral,0.811,28,0,pa_me_1968_07_10_05_f,0.5
1,neutral,0.605,29,0,pa_me_1968_07_10_05_f,0.5
0,neutral,2.103,30,1,pa_me_1968_07_10_05_f,0.5
0,neutral,0.768,31,1,pa_me_1968_07_10_05_f,0.5
0,neutral,0.577,32,1,pa_me_1968_07_10_05_f,0.5
0,neutral,0.69,33,0,pa_me_1968_07_10_05_f,0.5
1,neutral,0.807,34,0,pa_me_1968_07_10_05_f,0.5
1,neutral,1.794,35,0,pa_me_1968_07_10_05_f,0.5
1,neutral,0.847,36,0,pa_me_1968_07_10_05_f,0.5
1,neutral,0.859,37,0,pa_me_1968_07_10_05_f,0.5
